MovieID,OriginalTitle,CleanTitle,IMDb_ID
1,Toy Story (1995),Toy Story,tt0114709
2,Jumanji (1995),Jumanji,tt0113497
3,Grumpier Old Men (1995),Grumpier Old Men,tt0113228
4,Waiting to Exhale (1995),Waiting to Exhale,tt0114885
5,Father of the Bride Part II (1995),Father of the Bride Part II,tt0113041
6,Heat (1995),Heat,tt0113277
7,Sabrina (1995),Sabrina,tt0114319
8,Tom and Huck (1995),Tom and Huck,tt0112302
9,Sudden Death (1995),Sudden Death,tt0114576
10,GoldenEye (1995),GoldenEye,tt0113189
11,"American President, The (1995)","American President, The",tt0112346
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,tt0112896
13,Balto (1995),Balto,tt0112453
14,Nixon (1995),Nixon,tt0113987
15,Cutthroat Island (1995),Cutthroat Island,tt0112760
16,Casino (1995),Casino,tt0112641
17,Sense and Sensibility (1995),Sense and Sensibility,tt0114388
18,Four Rooms (1995),Four Rooms,tt0113101
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,tt0112281
20,Money Train (1995),Money Train,tt0113845
21,Get Shorty (1995),Get Shorty,tt0113161
22,Copycat (1995),Copycat,tt0112722
23,Assassins (1995),Assassins,tt0112401
24,Powder (1995),Powder,tt0114168
25,Leaving Las Vegas (1995),Leaving Las Vegas,tt0113627
26,Othello (1995),Othello,tt0114057
27,Now and Then (1995),Now and Then,tt0114011
28,Persuasion (1995),Persuasion,tt13456318
29,"City of Lost Children, The (1995)","City of Lost Children, The",tt0112682
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),tt0115012
31,Dangerous Minds (1995),Dangerous Minds,tt0112792
32,Twelve Monkeys (1995),Twelve Monkeys,tt0114746
33,Wings of Courage (1995),Wings of Courage,tt0114952
34,Babe (1995),Babe,tt0112431
35,Carrington (1995),Carrington,tt0112637
36,Dead Man Walking (1995),Dead Man Walking,tt0112818
37,Across the Sea of Time (1995),Across the Sea of Time,tt0112286
38,It Takes Two (1995),It Takes Two,tt0113442
39,Clueless (1995),Clueless,tt0112697
40,"Cry, the Beloved Country (1995)","Cry, the Beloved Country",tt0112749
41,Richard III (1995),Richard III,tt0114279
42,Dead Presidents (1995),Dead Presidents,tt0112819
43,Restoration (1995),Restoration,tt0114272
44,Mortal Kombat (1995),Mortal Kombat,tt17490712
45,To Die For (1995),To Die For,tt0114681
46,How to Make an American Quilt (1995),How to Make an American Quilt,tt0113347
47,Seven (Se7en) (1995),Seven (Se7en),tt2167881
48,Pocahontas (1995),Pocahontas,tt0114148
49,When Night Is Falling (1995),When Night Is Falling,tt0114916
50,"Usual Suspects, The (1995)","Usual Suspects, The",tt0114814
51,Guardian Angel (1994),Guardian Angel,tt2992538
52,Mighty Aphrodite (1995),Mighty Aphrodite,tt0113819
53,Lamerica (1994),Lamerica,tt0110299
54,"Big Green, The (1995)","Big Green, The",tt0112499
55,Georgia (1995),Georgia,tt10813940
56,Kids of the Round Table (1995),Kids of the Round Table,tt0113541
57,Home for the Holidays (1995),Home for the Holidays,tt0113321
58,"Postino, Il (The Postman) (1994)","Postino, Il (The Postman)",tt30021400
59,"Confessional, The (Le Confessionnal) (1995)","Confessional, The (Le Confessionnal)",tt0072813
60,"Indian in the Cupboard, The (1995)","Indian in the Cupboard, The",tt0113419
61,Eye for an Eye (1996),Eye for an Eye,tt0116260
62,Mr. Holland's Opus (1995),Mr. Holland's Opus,tt0113862
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood,tt0116126
64,Two if by Sea (1996),Two if by Sea,tt0118002
65,Bio-Dome (1996),Bio-Dome,tt0115683
66,Lawnmower Man 2: Beyond Cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace,tt0116839
67,Two Bits (1995),Two Bits,tt0114753
69,Friday (1995),Friday,tt0113118
70,From Dusk Till Dawn (1996),From Dusk Till Dawn,tt0116367
71,Fair Game (1995),Fair Game,tt0977855
72,Kicking and Screaming (1995),Kicking and Screaming,tt0113537
73,"Misérables, Les (1995)","Misérables, Les",tt1707386
74,Bed of Roses (1996),Bed of Roses,tt0115644
75,Big Bully (1996),Big Bully,tt0115676
76,Screamers (1995),Screamers,tt0114367
