title,storyline,description,directors,writers,cast,tagline,genres
Toy Story,"A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.","A cowboy doll is profoundly jealous when a new spaceman action figure supplants him as the top toy in a boy's bedroom. When circumstances separate them from their owner, the duo have to put aside their differences to return to him.",John Lasseter,"John Lasseter, Pete Docter, Andrew Stanton","['Tom Hanks (Unknown Role)', 'Tim Allen (Unknown Role)', 'Don Rickles (Unknown Role)', 'Jim Varney (Unknown Role)', 'Wallace Shawn (Unknown Role)']",Tagline not available,Animation|Children's|Comedy
Jumanji,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",Joe Johnston,"Jonathan Hensleigh, Greg Taylor, Jim Strain","['Robin Williams (Unknown Role)', 'Kirsten Dunst (Unknown Role)', 'Bonnie Hunt (Unknown Role)', 'Jonathan Hyde (Unknown Role)', 'Bradley Pierce (Unknown Role)']",Tagline not available,Adventure|Children's|Fantasy
Grumpier Old Men,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.","John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",Howard Deutch,Mark Steven Johnson,"['Walter Matthau (Unknown Role)', 'Jack Lemmon (Unknown Role)', 'Ann-Margret (Unknown Role)', 'Sophia Loren (Unknown Role)', 'Burgess Meredith (Unknown Role)']",Tagline not available,Comedy|Romance
Waiting to Exhale,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.","Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with men.",Forest Whitaker,"Terry McMillan, Ron Bass","['Whitney Houston (Unknown Role)', 'Angela Bassett (Unknown Role)', 'Loretta Devine (Unknown Role)', 'Lela Rochon (Unknown Role)', 'Gregory Hines (Unknown Role)']",Tagline not available,Comedy|Drama
Father of the Bride Part II,"George Banks must deal not only with his daughter's pregnancy, but also with his wife's.","George Banks must deal not only with his daughter's pregnancy, but also with his wife's.",Charles Shyer,"Albert Hackett, Frances Goodrich, Nancy Meyers","['Steve Martin (Unknown Role)', 'Diane Keaton (Unknown Role)', 'Martin Short (Unknown Role)', 'Kimberly Williams-Paisley (Unknown Role)', 'George Newbern (Unknown Role)']",Tagline not available,Comedy
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,Michael Mann,Michael Mann,"['Al Pacino (Unknown Role)', 'Robert De Niro (Unknown Role)', 'Val Kilmer (Unknown Role)', 'Jon Voight (Unknown Role)', 'Tom Sizemore (Unknown Role)']",Tagline not available,Action|Crime|Thriller
Sabrina,"After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved ...","After her return from school in Paris, a playboy finally takes notice of his family's chauffeur's daughter, who's long had a crush on him, but he questions his more serious brother's motives when he warns against getting involved ...",Billy Wilder,"Billy Wilder, Samuel A. Taylor, Ernest Lehman","['Humphrey Bogart (Unknown Role)', 'Audrey Hepburn (Unknown Role)', 'William Holden (Unknown Role)', 'Walter Hampden (Unknown Role)', 'John Williams (Unknown Role)']",Tagline not available,Comedy|Romance
Tom and Huck,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,Peter Hewitt,"Mark Twain, Stephen Sommers, David Loughery","['Jonathan Taylor Thomas (Unknown Role)', 'Brad Renfro (Unknown Role)', 'Charles Rocket (Unknown Role)', 'Eric Schweig (Unknown Role)', 'Amy Wright (Unknown Role)']",Tagline not available,Adventure|Children's
Sudden Death,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,Peter Hyams,"Karen Elise Baldwin, Gene Quintano","['Jean-Claude Van Damme (Unknown Role)', 'Powers Boothe (Unknown Role)', 'Raymond J. Barry (Unknown Role)', 'Whittni Wright (Unknown Role)', 'Ross Malinger (Unknown Role)']",Tagline not available,Action
GoldenEye,"When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",Martin Campbell,"Ian Fleming, Michael France, Jeffrey Caine","['Pierce Brosnan (Unknown Role)', 'Sean Bean (Unknown Role)', 'Izabella Scorupco (Unknown Role)', 'Famke Janssen (Unknown Role)', 'Joe Don Baker (Unknown Role)']",Tagline not available,Action|Adventure|Thriller
The American President,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but &quot;politics is perception,&quot; and sparks fly anyway.","A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but &quot;politics is perception,&quot; and sparks fly anyway.",Rob Reiner,Aaron Sorkin,"['Michael Douglas (Unknown Role)', 'Annette Bening (Unknown Role)', 'Martin Sheen (Unknown Role)', 'Michael J. Fox (Unknown Role)', 'Anna Deavere Smith (Unknown Role)']",Tagline not available,Comedy|Drama|Romance
