user_id,cluster_id,label
1,0,"Drama, Comedy / Jim Abrahams, David Zucker, Jerry Zucker, Penny Marshall Films"
1,1,"Animation, Children'S / Barry Levinson, Henry Selick Films"
2,0,"Action, Thriller / James Cameron, Jean-Pierre Jeunet Films"
2,1,"Action, Adventure / Phillip Noyce, Richard Marquand Films"
2,2,"Drama, Adventure / George Lucas, Nicholas Ray Films"
2,3,"Drama, Action / Sam Mendes, John Frankenheimer Films"
2,4,"Drama, Comedy / Peter Chelsom, Bruce Beresford Films"
2,5,"Drama, Romance / Scott Hicks, Martin Scorsese Films"
2,6,"Drama, Action / Steven Spielberg, Edward Zwick Films"
3,0,"Comedy, Drama / Sam Mendes, Joel Coen, Ethan Coen Films"
3,1,"Action, Adventure / Steven Spielberg, Terry Gilliam, Terry Jones Films"
3,2,"Comedy, Action / Dennis Dugan, Harold Ramis Films"
3,3,"Action, Comedy / Barry Levinson, Barry Sonnenfeld Films"
3,4,"Adventure, Comedy / Spike Jonze, Stephen Norrington Films"
3,5,"Adventure, Comedy / Rob Reiner Films"
3,6,"Action, Adventure / Richard Marquand, Rob Cohen Films"
4,0,"Action, Adventure / Steven Spielberg, Peter Jackson Films"
4,1,"Action, Drama / John G. Avildsen Films"
4,2,"Action, Adventure / Richard Marquand, Irvin Kershner Films"
4,3,"Action, Sci-Fi / John Mctiernan Films"
4,4,Action / Guy Hamilton Films
4,5,"Action, Thriller / John Mctiernan Films"
4,6,"Action, Horror / Ridley Scott, Steven Spielberg Films"
5,0,"Comedy, Sci-Fi / Marc Caro, Jean-Pierre Jeunet, Terry Zwigoff Films"
5,1,"Drama, Comedy / Sam Mendes, Amy Heckerling Films"
5,2,"Drama, Thriller / Quentin Tarantino, Mike Leigh Films"
5,3,"Drama, Comedy / Ivan Reitman, Director Not Available Films"
5,4,"Drama, Children'S / Patricia Rozema, George A. Romero Films"
5,5,"Drama, Comedy / Woody Allen, Jay Roach Films"
5,6,"Drama, Comedy / Richard Linklater, George Armitage Films"
6,0,"Western, Crime / Quentin Tarantino, Sydney Pollack Films"
6,1,"Comedy, Drama / Sam Mendes, Don Bluth, Gary Goldman Films"
6,2,"Drama, Romance / Ridley Scott, Mike Gabriel, Eric Goldberg Films"
6,3,"Comedy, Romance / Ron Clements, John Musker, Edward Norton Films"
6,4,"Comedy, Romance / Tony Scott, Baz Luhrmann Films"
6,5,"Action, Romance / H.B. Halicki, Robert Towne Films"
6,6,"Romance, Comedy / Robert Zemeckis, Norman Jewison Films"
6,7,"Children'S, Musical / Guy Ritchie, Bill Condon Films"
7,0,"Action, Sci-Fi / Ridley Scott, Michael Mann Films"
7,1,"Action, Thriller / James Cameron, Phillip Noyce Films"
8,0,"Drama / Spike Lee, David Anspaugh Films"
8,1,"Drama, Thriller / Martin Scorsese, Oliver Stone Films"
8,2,"Drama, Action / Ron Howard, Cameron Crowe Films"
8,3,"Drama, Romance / James Cameron, James Mangold Films"
8,4,"Drama, Thriller / Frank Marshall, John Singleton Films"
8,5,"Drama, Action / Steven Spielberg, Michael Caton-Jones Films"
8,6,"Drama, Comedy / Sam Mendes, Mike Newell Films"
9,0,"Thriller, Drama / Martin Scorsese, Jan De Bont Films"
9,1,"Drama, Romance / Kevin Smith, Kevin Costner Films"
9,2,"Comedy, Animation / Sam Mendes, John Frankenheimer Films"
9,3,"Drama, Sci-Fi / Mike Newell, H.B. Halicki Films"
9,4,"Drama, Romance / Barry Levinson, Cameron Crowe Films"
10,0,"Comedy, Drama / Peter Segal, Peter Yates Films"
10,1,"Comedy, Action / Frank Oz, Billy Wilder Films"
10,2,"Drama, Children'S / Tim Burton, Shekhar Kapur Films"
10,3,"Sci-Fi, Adventure / Steven Spielberg, Ron Howard Films"
10,4,"Comedy, Fantasy / Ivan Reitman, Steve Barron Films"
10,5,"Comedy, Children'S / Robert Zemeckis, Barry Levinson Films"
10,6,"Comedy, Drama / Les Mayfield, Terry Gilliam Films"
10,7,"Drama, Romance / Kenneth Branagh, P.J. Hogan Films"
10,8,"Action, Drama / Richard Donner, Leonard Nimoy Films"
11,0,"Comedy, Drama / Rob Reiner, Harold Ramis Films"
11,1,"Comedy, Drama / Director Not Available, Mike Newell Films"
11,2,"Comedy, Action / Steven Spielberg, Barry Levinson Films"
12,0,"Drama, Comedy / Cameron Crowe, Orson Welles Films"
12,1,"Comedy, Crime / Sidney Lumet, John Herzfeld Films"
12,2,"Thriller, Action / Roman Polanski, Steven Spielberg Films"
13,0,"Action, Adventure / Richard Donner, Richard Lester, Richard Donner Films"
13,1,"Action, Adventure / Tim Burton, Barry Sonnenfeld Films"
13,2,"Adventure, Sci-Fi / Joe Johnston, Rob Reiner Films"
13,3,"Adventure, Action / Steven Spielberg, George Lucas Films"
14,0,"Comedy, Drama / Spike Jonze, Gil Junger Films"
14,1,"Drama, Horror / Sam Mendes, Brian De Palma Films"
15,0,"Comedy, Drama / Sam Mendes, Paul Thomas Anderson Films"
15,1,"Drama, Thriller / Richard Donner, Paul Verhoeven Films"
15,2,"Action, Adventure / Steven Spielberg, Rob Cohen Films"
16,0,"Adventure, Musical / Betty Thomas, David Kellogg Films"
16,1,"Comedy, Thriller / Frank Capra, Garry Marshall Films"
16,2,"Drama, Romance / Edward Zwick, Troy Miller Films"
16,3,"Comedy, Romance / Raja Gosnell, Susan Seidelman Films"
16,4,"Comedy, Romance / Bob Clark, Gil Junger Films"
16,5,"Action, Sci-Fi / Barry Sonnenfeld, Steve Miner Films"
16,6,Horror / Director Not Available Films
16,7,"Comedy, Romance / Kelly Makin, Carl Gottlieb Films"
17,0,"Sci-Fi, Action / Stanley Kubrick, Ridley Scott Films"
17,1,"Sci-Fi, Action / John Carpenter, John Singleton Films"
17,2,"Sci-Fi, Action / Gerald Potterton, John Bruno, John Halas, Steven Spielberg Films"
17,3,"Drama, Crime / Martin Scorsese, Kevin Smith Films"
17,4,"Sci-Fi, Comedy / Robert Zemeckis, Director Not Available Films"
17,5,"Sci-Fi, Thriller / Danny Boyle, Victor Salva Films"
17,6,"Drama, Thriller / Sam Mendes, Gregory Hoblit Films"
18,0,"Action, Adventure / Terence Young, Simon West Films"
18,1,"Adventure, Drama / Steven Spielberg, Tim Burton Films"
18,2,"Drama, Romance / Franco Zeffirelli, Steven Soderbergh Films"
18,3,"Action, Drama / Richard Donner, Jan De Bont Films"
18,4,"Children'S, Action / Kenneth Branagh, Barry Levinson Films"
18,5,"Drama, Action / Mimi Leder, Michael Pressman Films"
18,6,"Comedy, Children'S / Chris Columbus, Stephen Herek Films"
19,0,"Horror, Thriller / Wes Craven, Ivan Reitman Films"
19,1,"Action, Comedy / Richard Donner, Mark Pellington Films"
19,2,"Comedy, Drama / Barry Levinson, Rob Reiner Films"
19,3,"Adventure, Action / George Lucas, Gregory Hoblit Films"
19,4,"Horror, Action / Terence Young, Steven Spielberg Films"
19,5,"Children'S, Drama / Tim Burton, Baz Luhrmann Films"
19,6,"Comedy, Action / John Landis, John Glen Films"
19,7,"Action, Sci-Fi / James Cameron, Steven Spielberg Films"
20,0,"Action, Sci-Fi / James Cameron, Robert Wise Films"
20,1,"Comedy, Drama / Sam Mendes, Jeff Pollack Films"
20,2,"Action, Adventure / Richard Lester, Richard Donner Films"
20,3,"Action, Crime / H.B. Halicki, Ridley Scott Films"
20,4,"Action, Sci-Fi / John Mctiernan, Steven Spielberg Films"
20,5,"Action, Crime / Steven Soderbergh, Robert Rodriguez Films"
21,0,"Action, Sci-Fi / Barry Sonnenfeld, Guy Ritchie Films"
21,1,"Animation, Children'S / John Lasseter, Don Bluth, Gary Goldman Films"
22,0,"Comedy, Drama / Robert Young, Fred Schepisi, James Algar, Samuel Armstrong, Ford Beebe Jr. Films"
22,1,"Adventure, Sci-Fi / Steven Spielberg, George Lucas Films"
22,2,"Comedy, Thriller / Ivan Reitman, Fritz Kiersch Films"
22,3,"Action, Thriller / Danny Cannon, Jonathan Lynn Films"
22,4,"Comedy, Thriller / Chris Columbus, Jan De Bont Films"
22,5,"Comedy, Action / Gerald Potterton, John Bruno, John Halas, Harold Ramis Films"
22,6,"Action, Thriller / John Mctiernan, Mimi Leder Films"
22,7,"Comedy, Drama / Peter Segal, Sam Mendes Films"
22,8,"Comedy, Sci-Fi / Robert Zemeckis, James Cameron Films"
23,0,"Comedy, Drama / Gerald Potterton, John Bruno, John Halas, Stanley Kubrick Films"
23,1,"Sci-Fi, Adventure / Steven Spielberg, John Carpenter Films"
