user_id,gender,age,occupation,watched_count,a_optimal_k,b_optimal_k,c_optimal_k,avg_count_all,avg_count_genre_only,avg_count_no_genre
1,F,1,10,37,2,6,2,18.5,6.17,18.5
2,M,56,16,84,7,7,7,12.0,12.0,12.0
3,M,25,15,32,7,2,7,4.57,16.0,4.57
4,M,45,7,13,7,3,7,1.86,4.33,1.86
5,M,25,20,122,7,2,7,17.43,61.0,17.43
6,F,50,9,52,8,6,8,6.5,8.67,6.5
7,M,35,1,21,2,7,2,10.5,3.0,10.5
8,M,25,12,97,7,8,7,13.86,12.12,13.86
9,M,25,17,65,5,5,5,13.0,13.0,13.0
10,F,35,1,265,9,7,9,29.44,37.86,29.44
11,F,25,1,90,3,7,3,30.0,12.86,30.0
12,M,25,12,11,3,7,3,3.67,1.57,3.67
13,M,45,1,66,4,7,4,16.5,9.43,16.5
14,M,35,0,17,2,6,2,8.5,2.83,8.5
15,M,25,7,128,3,4,3,42.67,32.0,42.67
16,F,35,0,24,8,5,8,3.0,4.8,3.0
17,M,50,1,132,7,6,7,18.86,22.0,18.86
18,F,18,3,191,7,7,7,27.29,27.29,27.29
19,M,1,10,160,8,3,8,20.0,53.33,20.0
20,M,25,14,15,6,4,6,2.5,3.75,2.5
21,M,18,16,11,2,3,2,5.5,3.67,5.5
22,M,18,15,205,9,5,9,22.78,41.0,22.78
23,M,35,0,206,7,3,7,29.43,68.67,29.43
24,F,25,7,90,6,5,6,15.0,18.0,15.0
25,M,18,4,64,9,3,9,7.11,21.33,7.11
26,M,25,7,283,6,5,6,47.17,56.6,47.17
27,M,25,11,50,4,8,4,12.5,6.25,12.5
28,F,25,1,70,3,6,3,23.33,11.67,23.33
29,M,35,7,71,7,8,7,10.14,8.88,10.14
30,F,35,7,24,3,5,7,8.0,4.8,3.43
31,M,56,7,75,9,6,9,8.33,12.5,8.33
32,F,25,0,30,4,7,4,7.5,4.29,7.5
33,M,45,3,236,9,7,9,26.22,33.71,26.22
34,F,18,0,118,5,3,5,23.6,39.33,23.6
35,M,45,1,108,7,3,7,15.43,36.0,15.43
36,M,25,3,246,7,6,7,35.14,41.0,35.14
37,F,25,9,39,7,6,7,5.57,6.5,5.57
38,F,18,4,68,5,4,5,13.6,17.0,13.6
39,M,18,4,41,6,3,6,6.83,13.67,6.83
40,M,45,0,63,8,7,8,7.88,9.0,7.88
41,F,18,4,17,9,2,9,1.89,8.5,1.89
42,M,25,8,162,7,5,7,23.14,32.4,23.14
43,M,25,12,19,6,6,6,3.17,3.17,3.17
44,M,45,17,118,9,6,9,13.11,19.67,13.11
45,F,45,16,206,5,3,5,41.2,68.67,41.2
46,M,18,19,25,2,6,2,12.5,4.17,12.5
47,M,18,4,10,7,3,7,1.43,3.33,1.43
48,M,25,4,402,8,7,8,50.25,57.43,50.25
49,M,18,12,70,7,2,7,10.0,35.0,10.0
50,F,25,2,27,8,8,8,3.38,3.38,3.38
51,F,1,10,28,6,3,6,4.67,9.33,4.67
52,M,18,4,58,7,9,7,8.29,6.44,8.29
53,M,25,0,449,7,9,7,64.14,49.89,64.14
54,M,50,1,24,3,4,3,8.0,6.0,8.0
55,F,35,12,16,9,2,9,1.78,8.0,1.78
56,M,35,20,46,8,2,8,5.75,23.0,5.75
57,M,18,19,40,2,6,2,20.0,6.67,20.0
58,M,25,2,293,6,7,6,48.83,41.86,48.83
59,F,50,1,135,7,8,7,19.29,16.88,19.29
60,M,50,1,53,7,2,7,7.57,26.5,7.57
61,M,25,17,27,2,2,2,13.5,13.5,13.5
62,F,35,3,325,7,8,7,46.43,40.62,46.43
63,M,18,4,74,7,3,7,10.57,24.67,10.57
64,M,18,1,21,7,2,7,3.0,10.5,3.0
65,M,35,12,85,3,3,3,28.33,28.33,28.33
66,M,25,18,21,6,7,6,3.5,3.0,3.5
67,F,50,5,46,7,6,7,6.57,7.67,6.57
68,M,18,4,42,7,7,7,6.0,6.0,6.0
69,F,25,1,39,5,6,5,7.8,6.5,7.8
70,M,18,4,37,3,7,3,12.33,5.29,12.33
71,M,25,14,22,4,4,4,5.5,5.5,5.5
72,F,45,0,31,9,7,9,3.44,4.43,3.44
73,M,18,4,179,9,5,9,19.89,35.8,19.89
74,M,35,14,24,2,3,2,12.0,8.0,12.0
75,F,1,10,111,4,8,4,27.75,13.88,27.75
76,M,35,7,53,8,8,8,6.62,6.62,6.62
77,M,18,4,31,7,4,7,4.43,7.75,4.43
78,F,45,1,95,8,9,8,11.88,10.56,11.88
79,F,45,0,18,8,5,8,2.25,3.6,2.25
80,M,56,1,34,3,3,3,11.33,11.33,11.33
81,F,25,0,53,2,3,2,26.5,17.67,26.5
82,M,25,17,74,7,7,7,10.57,10.57,10.57
83,F,25,2,60,7,7,7,8.57,8.57,8.57
84,M,18,4,25,7,3,7,3.57,8.33,3.57
85,M,18,4,28,3,5,3,9.33,5.6,9.33
86,F,1,10,32,7,5,7,4.57,6.4,4.57
87,M,25,14,34,8,6,8,4.25,5.67,4.25
88,F,45,1,48,3,5,3,16.0,9.6,16.0
89,F,56,9,14,2,5,2,7.0,2.8,7.0
90,M,56,13,135,7,8,7,19.29,16.88,19.29
91,M,35,7,33,8,7,8,4.12,4.71,4.12
92,F,18,4,273,9,7,9,30.33,39.0,30.33
93,M,25,17,147,7,8,7,21.0,18.38,21.0
94,M,25,17,12,3,4,3,4.0,3.0,4.0
95,M,45,0,60,7,5,7,8.57,12.0,8.57
96,F,25,16,49,8,8,8,6.12,6.12,6.12
97,F,35,3,97,4,9,4,24.25,10.78,24.25
98,F,35,7,9,7,4,7,1.29,2.25,1.29
99,F,1,10,67,7,5,7,9.57,13.4,9.57
100,M,35,17,55,3,5,3,18.33,11.0,18.33
101,F,18,3,77,7,7,7,11.0,11.0,11.0
102,M,35,19,91,3,7,3,30.33,13.0,30.33
103,M,45,7,80,3,4,3,26.67,20.0,26.67
104,M,25,12,32,4,3,4,8.0,10.67,8.0
105,M,45,12,34,7,4,7,4.86,8.5,4.86
106,F,35,11,33,9,8,9,3.67,4.12,3.67
107,M,45,18,74,7,7,7,10.57,10.57,10.57
108,M,25,12,24,6,9,6,4.0,2.67,4.0
109,M,45,15,59,8,5,8,7.38,11.8,7.38
110,M,25,2,53,6,4,6,8.83,13.25,8.83
111,M,35,15,61,3,9,3,20.33,6.78,20.33
112,M,25,16,39,7,3,7,5.57,13.0,5.57
113,M,18,12,45,7,9,7,6.43,5.0,6.43
114,F,25,2,58,6,2,6,9.67,29.0,9.67
115,M,25,17,32,7,7,7,4.57,4.57,4.57
116,M,25,17,50,6,6,6,8.33,8.33,8.33
117,M,25,17,326,5,3,5,65.2,108.67,65.2
118,M,35,17,159,4,7,4,39.75,22.71,39.75
119,F,1,10,78,7,7,7,11.14,11.14,11.14
120,M,25,11,43,8,5,8,5.38,8.6,5.38
121,M,35,7,53,4,6,4,13.25,8.83,13.25
122,F,18,4,39,4,2,4,9.75,19.5,9.75
123,M,35,9,411,7,8,7,58.71,51.38,58.71
124,M,56,7,14,2,6,2,7.0,2.33,7.0
125,M,45,14,45,5,3,5,9.0,15.0,9.0
126,M,18,9,30,7,3,4,4.29,10.0,7.5
127,F,45,3,106,7,3,7,15.14,35.33,15.14
128,M,56,6,16,3,3,3,5.33,5.33,5.33
129,M,25,11,108,3,5,3,36.0,21.6,36.0
130,M,35,17,86,7,4,7,12.29,21.5,12.29
131,M,18,4,185,5,7,5,37.0,26.43,37.0
132,M,25,17,57,7,9,7,8.14,6.33,8.14
133,F,25,0,102,3,7,3,34.0,14.57,34.0
134,M,25,0,134,8,6,6,16.75,22.33,22.33
135,M,18,4,44,2,6,2,22.0,7.33,22.0
136,M,18,2,237,9,3,9,26.33,79.0,26.33
137,F,45,6,133,8,6,8,16.62,22.17,16.62
138,M,18,20,34,3,4,3,11.33,8.5,11.33
139,F,25,20,160,8,9,8,20.0,17.78,20.0
140,F,35,1,33,7,5,7,4.71,6.6,4.71
141,M,35,13,16,8,6,8,2.0,2.67,2.0
142,M,25,7,31,3,7,3,10.33,4.43,10.33
143,M,18,3,46,8,5,8,5.75,9.2,5.75
144,M,25,17,21,4,8,4,5.25,2.62,5.25
145,M,18,4,30,6,6,6,5.0,5.0,5.0
146,F,35,20,277,5,4,5,55.4,69.25,55.4
147,M,18,4,132,5,7,5,26.4,18.86,26.4
148,M,50,17,409,6,3,6,68.17,136.33,68.17
149,M,25,1,383,7,6,7,54.71,63.83,54.71
150,M,35,7,146,6,6,6,24.33,24.33,24.33
151,F,25,20,323,7,3,7,46.14,107.67,46.14
152,M,18,4,19,2,7,2,9.5,2.71,9.5
153,M,1,10,20,7,7,7,2.86,2.86,2.86
154,M,50,20,30,4,2,4,7.5,15.0,7.5
155,M,35,12,64,8,8,8,8.0,8.0,8.0
156,F,45,7,104,7,6,7,14.86,17.33,14.86
157,M,35,16,286,6,9,6,47.67,31.78,47.67
158,M,56,7,11,2,2,4,5.5,5.5,2.75
159,F,45,0,26,7,5,7,3.71,5.2,3.71
160,M,35,7,17,8,8,8,2.12,2.12,2.12
161,M,45,16,189,7,3,7,27.0,63.0,27.0
162,F,18,4,68,7,4,7,9.71,17.0,9.71
163,M,18,4,351,7,6,7,50.14,58.5,50.14
164,F,56,13,18,7,5,7,2.57,3.6,2.57
165,M,18,16,68,2,7,2,34.0,9.71,34.0
166,M,18,4,263,6,8,6,43.83,32.88,43.83
167,F,25,11,33,7,7,7,4.71,4.71,4.71
168,F,50,0,18,7,4,7,2.57,4.5,2.57
169,M,25,7,375,5,4,9,75.0,93.75,41.67
170,M,25,11,54,6,7,6,9.0,7.71,9.0
171,F,50,17,13,2,5,2,6.5,2.6,6.5
172,M,25,3,14,8,9,8,1.75,1.56,1.75
173,M,25,0,317,3,5,3,105.67,63.4,105.67
174,M,25,16,59,7,6,7,8.43,9.83,8.43
175,F,25,2,213,8,5,8,26.62,42.6,26.62
176,F,18,3,58,9,5,9,6.44,11.6,6.44
177,M,50,1,29,7,3,7,4.14,9.67,4.14
178,M,56,17,71,6,5,6,11.83,14.2,11.83
179,M,25,0,77,9,7,9,8.56,11.0,8.56
180,M,45,12,42,6,5,6,7.0,8.4,7.0
181,M,18,17,215,9,9,9,23.89,23.89,23.89
182,M,18,4,56,7,5,7,8.0,11.2,8.0
183,F,45,1,74,6,8,6,12.33,9.25,12.33
184,F,25,0,61,3,7,3,20.33,8.71,20.33
185,M,45,0,34,4,6,4,8.5,5.67,8.5
186,M,18,5,72,8,6,8,9.0,12.0,9.0
187,F,45,1,260,5,9,5,52.0,28.89,52.0
188,M,56,16,47,8,7,8,5.88,6.71,5.88
189,M,18,0,27,5,4,5,5.4,6.75,5.4
190,M,25,17,86,5,5,5,17.2,17.2,17.2
191,M,18,4,26,9,2,9,2.89,13.0,2.89
192,M,18,1,360,5,7,8,72.0,51.43,45.0
193,F,45,15,149,8,8,8,18.62,18.62,18.62
194,F,1,10,43,4,7,4,10.75,6.14,10.75
195,M,25,12,483,7,4,7,69.0,120.75,69.0
196,F,35,9,21,2,5,2,10.5,4.2,10.5
197,M,18,14,15,3,6,3,5.0,2.5,5.0
198,M,25,12,261,6,5,6,43.5,52.2,43.5
199,M,18,4,282,3,4,3,94.0,70.5,94.0
200,F,18,4,20,3,8,3,6.67,2.5,6.67
201,F,35,2,56,2,6,2,28.0,9.33,28.0
202,M,18,4,463,2,8,2,231.5,57.88,231.5
203,F,18,4,81,6,3,5,13.5,27.0,16.2
204,M,25,7,294,5,9,5,58.8,32.67,58.8
205,M,35,12,88,8,4,8,11.0,22.0,11.0
206,M,25,17,23,7,6,7,3.29,3.83,3.29
207,M,25,12,17,2,5,2,8.5,3.4,8.5
208,M,35,17,128,6,7,6,21.33,18.29,21.33
209,M,35,1,21,7,6,7,3.0,3.5,3.0
210,F,1,10,68,7,2,7,9.71,34.0,9.71
211,M,45,17,25,4,4,4,6.25,6.25,6.25
212,M,25,16,72,7,7,7,10.29,10.29,10.29
213,F,18,4,17,2,6,2,8.5,2.83,8.5
214,M,18,20,113,6,7,6,18.83,16.14,18.83
215,M,35,14,27,8,7,8,3.38,3.86,3.38
216,M,45,13,502,4,6,4,125.5,83.67,125.5
217,M,18,4,13,3,4,3,4.33,3.25,4.33
218,M,35,14,59,5,6,5,11.8,9.83,11.8
219,F,25,4,24,6,6,8,4.0,4.0,3.0
220,M,25,12,66,7,2,7,9.43,33.0,9.43
